Time,Tissue,Taxon,Treatment,n_shrimp,n_pos,freq,prevalence_pct,n_missing,n_pos_observed
DOC42,Gut,Bacillus altitudinis,F35,5,,,,1,3
DOC42,Gut,Demequina globuliformis,F35,5,,,,1,3
DOC42,Gut,Tenacibaculum discolor,F35,5,2,0.4,40.0,0,2
DOC42,Gut,Litorilituus sediminis,F35,5,,,,1,1
DOC42,Gut,Tenacibaculum pelagium,F35,5,5,1,100.0,0,5
DOC42,Gut,Paracoccus homiensis,F35,5,5,1,100.0,0,5
DOC42,Gut,Photobacterium damselae,F35,5,,,,1,3
DOC42,Gut,Vibrio brasiliensis,F35,5,,,,2,2
DOC42,Gut,Vibrio tubiashii,F35,5,,,,2,1
DOC42,HP,Pseudoalteromonas piratica,F35,5,5,1,100.0,0,5
DOC42,HP,Vibrio jasicida,F35,5,5,1,100.0,0,5
DOC42,HP,Vibrio owensii,F35,5,5,1,100.0,0,5
DOC42,HP,Ruegeria profundi,F35,5,,,,2,2
DOC42,HP,Mesoflavibacter zeaxanthinifaciens,F35,5,0,0,0.0,0,0
DOC42,HP,Bacillus altitudinis,F35,5,,,,1,4
DOC42,HP,Demequina globuliformis,F35,5,5,1,100.0,0,5
DOC42,HP,Tenacibaculum discolor,F35,5,1,0.2,20.0,0,1
DOC42,HP,Litorilituus sediminis,F35,5,0,0,0.0,0,0
DOC42,HP,Tenacibaculum pelagium,F35,5,5,1,100.0,0,5
DOC42,HP,Paracoccus homiensis,F35,5,,,,1,3
DOC42,HP,Photobacterium damselae,F35,5,1,0.2,20.0,0,1
DOC42,HP,Vibrio brasiliensis,F35,5,0,0,0.0,0,0
DOC42,HP,Vibrio tubiashii,F35,5,1,0.2,20.0,0,1
DOC42,Gut,Pseudoalteromonas piratica,F50,5,5,1,100.0,0,5
DOC42,Gut,Vibrio jasicida,F50,5,,,,1,3
DOC42,Gut,Vibrio owensii,F50,5,5,1,100.0,0,5
DOC42,Gut,Ruegeria profundi,F50,5,4,0.8,80.0,0,4
DOC42,Gut,Mesoflavibacter zeaxanthinifaciens,F50,5,2,0.4,40.0,0,2
DOC42,Gut,Bacillus altitudinis,F50,5,3,0.6,60.0,0,3
DOC42,Gut,Demequina globuliformis,F50,5,,,,1,4
DOC42,Gut,Tenacibaculum discolor,F50,5,3,0.6,60.0,0,3
DOC42,Gut,Litorilituus sediminis,F50,5,3,0.6,60.0,0,3
DOC42,Gut,Tenacibaculum pelagium,F50,5,5,1,100.0,0,5
DOC42,Gut,Paracoccus homiensis,F50,5,3,0.6,60.0,0,3
DOC42,Gut,Photobacterium damselae,F50,5,4,0.8,80.0,0,4
DOC42,Gut,Vibrio brasiliensis,F50,5,0,0,0.0,0,0
DOC42,Gut,Vibrio tubiashii,F50,5,0,0,0.0,0,0
DOC42,HP,Pseudoalteromonas piratica,F50,5,5,1,100.0,0,5
DOC42,HP,Vibrio jasicida,F50,5,5,1,100.0,0,5
DOC42,HP,Vibrio owensii,F50,5,,,,1,4
DOC42,HP,Ruegeria profundi,F50,5,5,1,100.0,0,5
DOC42,HP,Mesoflavibacter zeaxanthinifaciens,F50,5,1,0.2,20.0,0,1
DOC42,HP,Bacillus altitudinis,F50,5,4,0.8,80.0,0,4
DOC42,HP,Demequina globuliformis,F50,5,5,1,100.0,0,5
DOC42,HP,Tenacibaculum discolor,F50,5,3,0.6,60.0,0,3
DOC42,HP,Litorilituus sediminis,F50,5,3,0.6,60.0,0,3
DOC42,HP,Tenacibaculum pelagium,F50,5,5,1,100.0,0,5
DOC42,HP,Paracoccus homiensis,F50,5,4,0.8,80.0,0,4
DOC42,HP,Photobacterium damselae,F50,5,5,1,100.0,0,5
DOC42,HP,Vibrio brasiliensis,F50,5,2,0.4,40.0,0,2
DOC42,HP,Vibrio tubiashii,F50,5,1,0.2,20.0,0,1
DOC56,Gut,Bacillus altitudinis,F0,5,2,0.4,40.0,0,2
DOC56,Gut,Demequina globuliformis,F0,5,1,0.2,20.0,0,1
DOC56,Gut,Litorilituus sediminis,F0,5,4,0.8,80.0,0,4
DOC56,Gut,Mesoflavibacter zeaxanthinifaciens,F0,5,3,0.6,60.0,0,3
DOC56,Gut,Micrococcus luteus,F0,5,4,0.8,80.0,0,4
DOC56,Gut,Paracoccus homiensis,F0,5,5,1,100.0,0,5
DOC56,Gut,Photobacterium damselae,F0,5,4,0.8,80.0,0,4
DOC56,Gut,Pseudoalteromonas piratica,F0,5,3,0.6,60.0,0,3
DOC56,Gut,Ruegeria profundi,F0,5,3,0.6,60.0,0,3
DOC56,Gut,Tenacibaculum discolor,F0,5,2,0.4,40.0,0,2
DOC56,Gut,Tenacibaculum pelagium,F0,5,3,0.6,60.0,0,3
DOC56,Gut,Vibrio brasiliensis,F0,5,2,0.4,40.0,0,2
DOC56,Gut,Vibrio jasicida,F0,5,1,0.2,20.0,0,1
DOC56,Gut,Vibrio owensii,F0,5,5,1,100.0,0,5
DOC56,Gut,Vibrio tubiashii,F0,5,4,0.8,80.0,0,4
DOC56,HP,Bacillus altitudinis,F0,5,0,0,0.0,0,0
DOC56,HP,Demequina globuliformis,F0,5,1,0.2,20.0,0,1
DOC56,HP,Litorilituus sediminis,F0,5,2,0.4,40.0,0,2
DOC56,HP,Mesoflavibacter zeaxanthinifaciens,F0,5,3,0.6,60.0,0,3
DOC56,HP,Micrococcus luteus,F0,5,4,0.8,80.0,0,4
DOC56,HP,Paracoccus homiensis,F0,5,4,0.8,80.0,0,4
DOC56,HP,Photobacterium damselae,F0,5,2,0.4,40.0,0,2
DOC56,HP,Pseudoalteromonas piratica,F0,5,3,0.6,60.0,0,3
DOC56,HP,Ruegeria profundi,F0,5,4,0.8,80.0,0,4
DOC56,HP,Tenacibaculum discolor,F0,5,1,0.2,20.0,0,1
DOC56,HP,Tenacibaculum pelagium,F0,5,2,0.4,40.0,0,2
DOC56,HP,Vibrio brasiliensis,F0,5,1,0.2,20.0,0,1
DOC56,HP,Vibrio jasicida,F0,5,1,0.2,20.0,0,1
DOC56,HP,Vibrio owensii,F0,5,4,0.8,80.0,0,4
DOC56,HP,Vibrio tubiashii,F0,5,5,1,100.0,0,5
DOC56,Gut,Bacillus altitudinis,F15,5,4,0.8,80.0,0,4
DOC56,Gut,Demequina globuliformis,F15,5,3,0.6,60.0,0,3
DOC56,Gut,Litorilituus sediminis,F15,5,1,0.2,20.0,0,1
DOC56,Gut,Mesoflavibacter zeaxanthinifaciens,F15,5,5,1,100.0,0,5
DOC56,Gut,Micrococcus luteus,F15,5,3,0.6,60.0,0,3
DOC56,Gut,Paracoccus homiensis,F15,5,5,1,100.0,0,5
DOC56,Gut,Photobacterium damselae,F15,5,4,0.8,80.0,0,4
DOC56,Gut,Pseudoalteromonas piratica,F15,5,5,1,100.0,0,5
DOC56,Gut,Ruegeria profundi,F15,5,5,1,100.0,0,5
DOC56,Gut,Tenacibaculum discolor,F15,5,4,0.8,80.0,0,4
DOC56,Gut,Tenacibaculum pelagium,F15,5,3,0.6,60.0,0,3
DOC56,Gut,Vibrio brasiliensis,F15,5,4,0.8,80.0,0,4
DOC56,Gut,Vibrio jasicida,F15,5,1,0.2,20.0,0,1
DOC56,Gut,Vibrio owensii,F15,5,5,1,100.0,0,5
DOC56,Gut,Vibrio tubiashii,F15,5,3,0.6,60.0,0,3
DOC56,HP,Bacillus altitudinis,F15,5,4,0.8,80.0,0,4
DOC56,HP,Demequina globuliformis,F15,5,3,0.6,60.0,0,3
DOC56,HP,Litorilituus sediminis,F15,5,3,0.6,60.0,0,3
DOC56,HP,Mesoflavibacter zeaxanthinifaciens,F15,5,5,1,100.0,0,5
DOC56,HP,Micrococcus luteus,F15,5,2,0.4,40.0,0,2
DOC56,HP,Paracoccus homiensis,F15,5,5,1,100.0,0,5
DOC56,HP,Photobacterium damselae,F15,5,4,0.8,80.0,0,4
DOC56,HP,Pseudoalteromonas piratica,F15,5,5,1,100.0,0,5
DOC56,HP,Ruegeria profundi,F15,5,5,1,100.0,0,5
DOC56,HP,Tenacibaculum discolor,F15,5,2,0.4,40.0,0,2
DOC56,HP,Tenacibaculum pelagium,F15,5,1,0.2,20.0,0,1
DOC56,HP,Vibrio brasiliensis,F15,5,0,0,0.0,0,0
DOC56,HP,Vibrio jasicida,F15,5,2,0.4,40.0,0,2
DOC56,HP,Vibrio owensii,F15,5,5,1,100.0,0,5
DOC56,HP,Vibrio tubiashii,F15,5,3,0.6,60.0,0,3
DOC56,Gut,Bacillus altitudinis,F25,5,4,0.8,80.0,0,4
DOC56,Gut,Demequina globuliformis,F25,5,5,1,100.0,0,5
DOC56,Gut,Litorilituus sediminis,F25,5,5,1,100.0,0,5
DOC56,Gut,Mesoflavibacter zeaxanthinifaciens,F25,5,5,1,100.0,0,5
DOC56,Gut,Micrococcus luteus,F25,5,2,0.4,40.0,0,2
DOC56,Gut,Paracoccus homiensis,F25,5,5,1,100.0,0,5
DOC56,Gut,Photobacterium damselae,F25,5,4,0.8,80.0,0,4
DOC56,Gut,Pseudoalteromonas piratica,F25,5,5,1,100.0,0,5
DOC56,Gut,Ruegeria profundi,F25,5,5,1,100.0,0,5
DOC56,Gut,Tenacibaculum discolor,F25,5,3,0.6,60.0,0,3
DOC56,Gut,Tenacibaculum pelagium,F25,5,1,0.2,20.0,0,1
DOC56,Gut,Vibrio brasiliensis,F25,5,2,0.4,40.0,0,2
DOC56,Gut,Vibrio jasicida,F25,5,1,0.2,20.0,0,1
DOC56,Gut,Vibrio owensii,F25,5,5,1,100.0,0,5
DOC56,Gut,Vibrio tubiashii,F25,5,4,0.8,80.0,0,4
DOC56,HP,Bacillus altitudinis,F25,5,0,0,0.0,0,0
DOC56,HP,Demequina globuliformis,F25,5,5,1,100.0,0,5
DOC56,HP,Litorilituus sediminis,F25,5,1,0.2,20.0,0,1
DOC56,HP,Mesoflavibacter zeaxanthinifaciens,F25,5,5,1,100.0,0,5
DOC56,HP,Micrococcus luteus,F25,5,2,0.4,40.0,0,2
DOC56,HP,Paracoccus homiensis,F25,5,5,1,100.0,0,5
DOC56,HP,Photobacterium damselae,F25,5,3,0.6,60.0,0,3
DOC56,HP,Pseudoalteromonas piratica,F25,5,3,0.6,60.0,0,3
DOC56,HP,Ruegeria profundi,F25,5,5,1,100.0,0,5
DOC56,HP,Tenacibaculum discolor,F25,5,0,0,0.0,0,0
DOC56,HP,Tenacibaculum pelagium,F25,5,1,0.2,20.0,0,1
DOC56,HP,Vibrio brasiliensis,F25,5,0,0,0.0,0,0
DOC56,HP,Vibrio jasicida,F25,5,2,0.4,40.0,0,2
DOC56,HP,Vibrio owensii,F25,5,5,1,100.0,0,5
DOC56,HP,Vibrio tubiashii,F25,5,1,0.2,20.0,0,1
DOC56,Gut,Bacillus altitudinis,F35,5,3,0.6,60.0,0,3
DOC56,Gut,Demequina globuliformis,F35,5,5,1,100.0,0,5
DOC56,Gut,Litorilituus sediminis,F35,5,2,0.4,40.0,0,2
DOC56,Gut,Mesoflavibacter zeaxanthinifaciens,F35,5,5,1,100.0,0,5
DOC56,Gut,Micrococcus luteus,F35,5,2,0.4,40.0,0,2
DOC56,Gut,Paracoccus homiensis,F35,5,4,0.8,80.0,0,4
DOC56,Gut,Photobacterium damselae,F35,5,3,0.6,60.0,0,3
DOC56,Gut,Pseudoalteromonas piratica,F35,5,5,1,100.0,0,5
DOC56,Gut,Ruegeria profundi,F35,5,5,1,100.0,0,5
DOC56,Gut,Tenacibaculum discolor,F35,5,3,0.6,60.0,0,3
DOC56,Gut,Tenacibaculum pelagium,F35,5,1,0.2,20.0,0,1
DOC56,Gut,Vibrio brasiliensis,F35,5,3,0.6,60.0,0,3
DOC56,Gut,Vibrio jasicida,F35,5,2,0.4,40.0,0,2
DOC56,Gut,Vibrio owensii,F35,5,5,1,100.0,0,5
DOC56,Gut,Vibrio tubiashii,F35,5,1,0.2,20.0,0,1
DOC56,HP,Bacillus altitudinis,F35,5,2,0.4,40.0,0,2
DOC56,HP,Demequina globuliformis,F35,5,4,0.8,80.0,0,4
DOC56,HP,Litorilituus sediminis,F35,5,1,0.2,20.0,0,1
DOC56,HP,Mesoflavibacter zeaxanthinifaciens,F35,5,5,1,100.0,0,5
DOC56,HP,Micrococcus luteus,F35,5,2,0.4,40.0,0,2
DOC56,HP,Paracoccus homiensis,F35,5,4,0.8,80.0,0,4
DOC56,HP,Photobacterium damselae,F35,5,3,0.6,60.0,0,3
DOC56,HP,Pseudoalteromonas piratica,F35,5,4,0.8,80.0,0,4
DOC56,HP,Ruegeria profundi,F35,5,4,0.8,80.0,0,4
DOC56,HP,Tenacibaculum discolor,F35,5,3,0.6,60.0,0,3
DOC56,HP,Tenacibaculum pelagium,F35,5,2,0.4,40.0,0,2
DOC56,HP,Vibrio brasiliensis,F35,5,2,0.4,40.0,0,2
DOC56,HP,Vibrio jasicida,F35,5,1,0.2,20.0,0,1
DOC56,HP,Vibrio owensii,F35,5,5,1,100.0,0,5
DOC56,HP,Vibrio tubiashii,F35,5,2,0.4,40.0,0,2
DOC56,Gut,Bacillus altitudinis,F50,5,2,0.4,40.0,0,2
DOC56,Gut,Demequina globuliformis,F50,5,3,0.6,60.0,0,3
DOC56,Gut,Litorilituus sediminis,F50,5,4,0.8,80.0,0,4
DOC56,Gut,Mesoflavibacter zeaxanthinifaciens,F50,5,5,1,100.0,0,5
DOC56,Gut,Micrococcus luteus,F50,5,0,0,0.0,0,0
DOC56,Gut,Paracoccus homiensis,F50,5,5,1,100.0,0,5
DOC56,Gut,Photobacterium damselae,F50,5,3,0.6,60.0,0,3
DOC56,Gut,Pseudoalteromonas piratica,F50,5,4,0.8,80.0,0,4
DOC56,Gut,Ruegeria profundi,F50,5,5,1,100.0,0,5
DOC56,Gut,Tenacibaculum discolor,F50,5,3,0.6,60.0,0,3
DOC56,Gut,Tenacibaculum pelagium,F50,5,2,0.4,40.0,0,2
DOC56,Gut,Vibrio brasiliensis,F50,5,3,0.6,60.0,0,3
DOC56,Gut,Vibrio jasicida,F50,5,3,0.6,60.0,0,3
DOC56,Gut,Vibrio owensii,F50,5,5,1,100.0,0,5
DOC56,Gut,Vibrio tubiashii,F50,5,4,0.8,80.0,0,4
DOC56,HP,Bacillus altitudinis,F50,5,1,0.2,20.0,0,1
DOC56,HP,Demequina globuliformis,F50,5,2,0.4,40.0,0,2
DOC56,HP,Litorilituus sediminis,F50,5,0,0,0.0,0,0
DOC56,HP,Mesoflavibacter zeaxanthinifaciens,F50,5,2,0.4,40.0,0,2
DOC56,HP,Micrococcus luteus,F50,5,0,0,0.0,0,0
DOC56,HP,Paracoccus homiensis,F50,5,3,0.6,60.0,0,3
DOC56,HP,Photobacterium damselae,F50,5,1,0.2,20.0,0,1
DOC56,HP,Pseudoalteromonas piratica,F50,5,3,0.6,60.0,0,3
DOC56,HP,Ruegeria profundi,F50,5,0,0,0.0,0,0
DOC56,HP,Tenacibaculum discolor,F50,5,1,0.2,20.0,0,1
DOC56,HP,Tenacibaculum pelagium,F50,5,2,0.4,40.0,0,2
DOC56,HP,Vibrio brasiliensis,F50,5,1,0.2,20.0,0,1
DOC56,HP,Vibrio jasicida,F50,5,1,0.2,20.0,0,1
DOC56,HP,Vibrio owensii,F50,5,2,0.4,40.0,0,2
DOC56,HP,Vibrio tubiashii,F50,5,1,0.2,20.0,0,1
